Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2024-04-13;730867;5315166,25;1;2500000,00;2;78398,70;77;1932,70;306;243,10;4077;33,70;7237;10,10;70558;6,25;67671;3,75;240760;1,25
2024-04-10;491647;3160098,75;0;0,00;5;18644,50;125;707,80;298;148,40;4497;18,20;6275;6,90;60705;6,25;48370;3,75;144995;1,25
2024-04-06;702550;5037201,25;0;0,00;3;49532,40;106;1330,50;246;286,60;5883;22,10;6923;10,00;88765;6,25;65977;3,75;239683;1,25
2024-04-03;454783;2800441,25;0;0,00;0;0,00;41;1912,40;140;280,00;2288;31,70;3381;11,40;38758;6,25;31044;3,75;117948;1,25
2024-03-30;671411;4779166,25;3;333334,00;1;140985,40;136;983,90;265;252,40;5477;22,60;6876;9,50;90091;6,25;60834;3,75;217506;1,25
2024-03-27;449935;2820782,50;1;1500000,00;2;41606,50;37;2134,60;132;299,10;2215;32,90;3083;12,60;41155;6,25;33350;3,75;128062;1,25
2024-03-23;665571;4744878,75;0;0,00;0;0,00;79;1681,70;234;283,80;4225;29,00;6207;10,50;72131;6,25;57206;3,75;211390;1,25
2024-03-20;625486;4873886,25;1;7500000,00;0;0,00;121;1127,80;303;225,10;5445;23,10;7814;8,60;87251;6,25;70754;3,75;234501;1,25
2024-03-16;841384;6730947,50;0;0,00;6;33093,80;189;997,10;502;187,70;8983;19,40;11782;7,80;127796;6,25;99304;3,75;314983;1,25
2024-03-13;600301;4498156,25;0;0,00;2;66347,80;178;707,50;221;284,90;7317;15,90;5623;11,00;96220;6,25;48843;3,75;167832;1,25
2024-03-09;801641;6369972,50;0;0,00;7;26844,80;172;1036,90;313;284,90;7853;21,00;7612;11,50;114120;6,25;71179;3,75;256071;1,25
2024-03-06;572639;4239750,00;0;0,00;4;31268,10;114;1041,30;238;249,30;4852;22,60;6081;9,60;75294;6,25;55480;3,75;184261;1,25
2024-03-02;796076;6250505,00;0;0,00;6;30731,60;156;1121,80;454;192,70;6573;24,60;10058;8,50;105989;6,25;88093;3,75;302855;1,25
2024-02-28;527052;3765221,25;0;0,00;0;0,00;145;727,00;261;201,90;5336;18,20;6236;8,30;71401;6,25;51574;3,75;170422;1,25
2024-02-24;746733;5648457,50;0;0,00;3;55543,10;121;1307,00;305;259,20;5444;26,80;7555;10,30;90956;6,25;73875;3,75;268736;1,25
2024-02-21;496202;3328808,75;0;0,00;9;10911,00;118;789,80;363;128,30;4528;19,00;7369;6,25;65115;6,25;51538;3,75;148441;1,25
2024-02-17;702081;5140678,75;0;0,00;1;151650,00;64;2249,00;218;330,10;3625;36,70;5570;12,70;66298;6,25;51443;3,75;198004;1,25
2024-02-14;465540;2989318,75;0;0,00;1;88184,90;117;715,30;197;212,40;4625;16,70;4188;9,80;67239;6,25;34561;3,75;113810;1,25
2024-02-10;674505;4837560,00;0;0,00;1;142708,00;106;1277,80;245;276,40;4960;25,20;6419;10,40;80930;6,25;62948;3,75;229206;1,25
2024-02-07;443128;2746778,75;0;0,00;1;81029,90;89;864,10;151;254,60;3103;22,90;3572;10,60;49768;6,25;33355;3,75;124236;1,25
2024-02-03;664728;4704612,50;0;0,00;4;34696,50;123;1070,90;251;262,40;5502;22,10;6594;9,80;82055;6,25;62483;3,75;230569;1,25
2024-01-31;433316;2643747,50;1;1000000,00;3;25996,80;46;1609,20;176;210,20;2762;24,70;4575;7,90;44938;6,25;38395;3,75;127954;1,25
2024-01-27;719506;5181495,00;1;2500000,00;2;76427,00;88;1648,60;321;225,90;5502;24,30;7314;9,70;89104;6,25;64909;3,75;218528;1,25
2024-01-24;458389;2874935,00;0;0,00;0;0,00;54;1490,70;105;383,30;2629;28,30;3510;11,30;42782;6,25;32783;3,75;124471;1,25
2024-01-20;659396;4694426,25;0;0,00;1;138485,50;69;1904,90;202;325,30;3028;40,10;4997;12,90;54770;6,25;47471;3,75;180634;1,25
2024-01-17;416986;2530955,00;0;0,00;2;37331,50;31;2286,00;113;313,50;2197;29,80;3890;8,90;38539;6,25;38151;3,75;139128;1,25
2024-01-13;679286;4832373,75;2;750000,00;2;71277,50;126;1073,80;250;270,60;5346;23,40;6558;10,10;79315;6,25;57941;3,75;196507;1,25
2024-01-10;429520;2619127,50;0;0,00;0;0,00;65;1128,20;154;238,10;3004;22,50;3734;9,60;46465;6,25;32273;3,75;110107;1,25
2024-01-06;723352;5322387,50;2;1500000,00;3;52336,80;90;1655,80;398;187,20;5317;25,90;9118;8,00;86331;6,25;79491;3,75;269540;1,25
2024-01-03;459047;2949418,75;0;0,00;2;43503,90;54;1529,30;128;322,50;2660;28,70;3432;11,80;46239;6,25;33750;3,75;122266;1,25
