Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2024-05-10;546039;4006872,50;0;0,00;1;213998,10;0;25007,40;4;2596,40;42;136,80;92;73,30;116;42,60;1482;17,50;2245;12,60;5492;9,10;7526;8,60;31520;6,10;77576;3,80
2024-05-07;433869;2949017,50;0;0,00;0;0,00;0;202575,50;1;1707,60;23;190,90;53;83,00;48;61,00;851;18,00;1201;16,50;2503;13,30;4948;7,90;18938;7,10;42761;4,90
2024-05-03;562420;4121965,00;0;0,00;0;211741,00;1;18557,70;3;1926,70;70;104,30;133;57,30;105;39,30;1647;14,50;2616;9,80;5366;8,70;7812;7,20;37102;4,90;74435;3,90
2024-04-30;663400;5519320,00;0;166790050,00;1;114649,10;2;16489,40;6;981,80;108;88,80;158;51,60;222;29,00;2198;13,60;3610;9,80;8223;8,00;11078;6,90;47080;5,20;108087;3,70
2024-04-26;873176;7463927,50;0;0,00;0;560301,50;2;23809,30;5;1773,40;94;152,20;185;65,60;211;49,80;3129;14,20;3383;13,40;7835;11,20;17651;6,10;54662;6,20;121046;4,50
2024-04-23;561425;4443745,00;0;0,00;0;195277,70;1;22819,80;3;1672,40;56;130,90;106;62,90;110;40,30;1700;15,00;2460;11,60;5621;8,90;8463;7,20;35545;5,70;83940;3,80
2024-04-19;800431;6614787,50;0;0,00;0;938778,20;0;19946,10;2;1752,30;65;137,10;152;66,70;128;45,10;2168;16,30;3459;11,80;7404;10,00;12559;7,30;47918;6,10;108136;4,30
2024-04-16;495665;3746895,00;0;0,00;0;337636,50;0;31564,40;4;1117,20;69;150,60;128;49,90;113;46,30;2064;10,50;1971;12,60;4015;11,30;11779;4,40;28475;5,70;60516;4,50
2024-04-12;615594;4760232,50;0;0,00;0;389492,20;0;22757,60;2;1532,60;45;123,30;130;59,30;127;42,10;1936;14,60;2802;10,90;6042;9,00;9647;7,00;40202;5,40;90341;3,70
2024-04-09;451697;3200185,00;0;0,00;0;0,00;0;143308,70;2;1565,90;47;134,70;74;63,80;80;41,80;1210;14,50;1932;10,80;4180;8,60;6276;7,10;27364;5,30;62491;3,60
2024-04-05;601119;4532967,50;0;0,00;0;364537,40;1;13107,40;4;1294,40;65;123,70;103;67,90;127;40,20;1531;16,20;2438;11,60;5822;9,20;7973;7,80;35808;5,70;85552;3,90
2024-04-02;405885;2785317,50;0;0,00;0;0,00;0;311771,80;0;1533,00;18;166,90;68;56,30;52;56,30;1232;12,00;1236;13,20;2907;11,30;7249;5,10;20260;6,00;45492;4,50
2024-03-29;609847;4547447,50;0;0,00;0;687795,50;0;26791,50;2;2086,20;42;156,80;78;85,90;100;53,10;1312;19,70;2001;15,00;4804;11,20;7620;8,90;29403;6,90;76602;4,20
2024-03-26;417261;2808572,50;0;0,00;0;99867,40;0;23340,60;3;956,50;48;79,40;70;50,50;125;29,60;1147;13,00;2090;8,30;4218;7,80;5965;6,70;26162;4,60;54359;3,70
2024-03-22;575117;4189542,50;0;0,00;3;54013,30;4;5410,20;3;1275,20;119;70,80;95;72,00;277;21,90;1341;18,50;3270;9,30;7587;7,10;6546;9,00;37751;5,20;88990;3,50
2024-03-19;411466;2754747,50;0;0,00;0;156244,20;0;18258,40;1;1483,50;47;97,00;86;53,60;106;33,30;1103;13,50;1897;9,70;4324;8,00;5665;6,70;24958;5,00;55214;3,70
2024-03-15;1066408;9566762,50;0;130000000,00;0;420494,80;1;26802,70;4;1953,80;113;160,60;199;64,70;177;55,20;3361;15,60;4644;13,10;9692;11,70;18458;7,10;74079;5,80;154884;4,50
2024-03-12;467211;3255365,00;0;0,00;0;285832,30;0;33401,80;0;2080,70;42;136,60;77;78,90;98;42,90;1109;18,30;1738;12,60;4219;9,30;6000;8,70;24549;6,20;59745;3,80
2024-03-08;635018;4702907,50;0;0,00;0;729847,10;1;18953,00;3;1106,80;47;99,70;169;40,30;133;38,90;2638;9,60;3083;9,10;6250;8,50;13414;4,90;44879;4,60;90410;3,70
2024-03-05;438029;2966847,50;0;0,00;0;267433,80;0;17858,20;0;1145,10;52;96,10;119;40,50;91;35,30;1545;10,20;1931;9,40;4075;8,70;7709;5,10;27124;4,80;56063;3,80
2024-03-01;585597;4297110,00;0;0,00;0;169602,10;0;17617,20;2;851,40;66;90,80;185;42,40;174;35,70;2348;11,20;3513;8,50;6442;8,20;10299;6,10;44743;4,60;86170;3,60
2024-02-27;404431;2709707,50;0;0,00;0;61868,90;1;11567,80;5;973,80;79;63,00;110;41,20;215;20,90;1239;12,50;2442;7,20;5202;6,60;5880;6,70;27982;4,30;58579;3,40
2024-02-23;557553;4030155,00;0;0,00;0;0,00;0;155533,60;1;1911,90;45;169,30;89;76,90;80;51,00;1368;17,90;1691;14,20;4642;9,70;7349;8,30;27424;6,60;75862;3,80
2024-02-20;455411;3208775,00;0;73448160,00;1;143586,80;2;44744,80;3;995,40;27;148,10;131;41,20;67;52,40;2013;9,60;1763;12,20;3706;11,10;11134;4,20;26470;5,60;54365;4,50
2024-02-16;606393;4526542,50;0;0,00;0;365544,00;0;13143,60;2;985,50;74;87,60;136;54,80;164;29,10;1740;15,10;3172;8,80;6698;7,30;8449;7,70;42021;4,80;92327;3,40
2024-02-13;449524;3076807,50;0;0,00;0;269795,00;0;21018,50;5;1155,30;37;131,50;101;47,80;80;42,60;1761;10,80;1704;11,10;3556;9,40;10557;5,10;26722;5,20;56433;3,80
2024-02-09;608658;4473677,50;0;0,00;0;688624,90;1;40235,70;2;2638,40;36;153,90;99;80,70;86;52,30;1490;18,80;2217;13,80;5387;10,50;8068;8,50;32921;6,40;78471;4,20
2024-02-06;437570;2951282,50;0;0,00;0;252419,40;0;19664,80;1;1225,00;42;96,80;71;53,90;97;31,40;1212;13,90;1896;9,40;4708;7,50;6095;7,00;25393;5,10;60439;3,60
2024-02-02;613613;4520567,50;0;0,00;0;171330,20;0;22881,50;8;536,40;99;79,50;237;34,10;246;26,30;2978;9,40;3592;8,40;7724;7,30;13259;5,00;45613;4,60;93102;3,60
2024-01-30;754575;6515640,00;0;72274808,00;0;82195,80;0;9605,20;9;793,00;132;62,70;217;41,90;301;25,20;2836;12,30;5227;7,30;10522;7,10;13887;6,70;62832;4,40;131876;3,50
2024-01-26;1168107;10778517,50;0;0,00;0;146288,80;3;38463,80;3;1879,30;124;137,00;268;73,90;295;43,30;3802;17,70;6420;12,70;14297;9,70;19792;8,20;87544;6,10;204133;4,00
2024-01-23;415607;2765922,50;0;0,00;1;482958,10;0;56437,60;2;1953,20;35;143,60;53;74,60;82;42,10;854;17,80;1420;12,60;3404;10,30;4727;8,80;21490;6,00;49057;4,20
2024-01-19;562967;4118362,50;1;17000000,00;0;215402,70;1;30205,90;2;1742,20;32;168,20;84;75,50;99;52,40;1326;17,80;1971;13,50;4523;11,20;7067;8,20;31352;6,10;72824;4,30
2024-01-16;471304;3356502,50;0;87952574,00;1;201336,70;4;6416,60;2;1465,60;51;94,40;61;71,10;131;29,20;974;17,90;1762;11,00;4771;8,10;5571;8,60;25331;5,80;64342;3,70
2024-01-12;643349;4861670,00;0;0,00;0;281236,60;0;19718,80;3;1498,00;28;167,80;79;83,40;98;49,90;1561;18,30;2024;14,10;4944;11,00;8376;8,40;34989;6,20;81550;4,10
2024-01-09;456788;3182082,50;0;0,00;0;563511,30;0;18814,50;1;2159,00;39;132,10;81;63,60;93;42,40;1254;14,40;1875;11,50;4008;9,60;6437;7,00;27291;5,40;60055;3,90
2024-01-05;600926;4457105,00;0;0,00;0;359048,50;1;23975,80;3;886,00;71;128,50;149;50,80;148;41,70;2385;10,80;2816;11,10;6064;9,50;11661;5,30;39378;5,20;85552;4,00
2024-01-02;421407;2859140,00;0;0,00;0;0,00;0;123090,60;0;6052,50;28;165,50;57;86,00;70;43,50;830;19,40;1315;14,20;3372;9,40;4292;9,20;18692;6,80;53660;3,70
